LogDate,BENZE,CO,EBEN,HUM,NO,NO2,NOX,O3,PM10,PM2.5,PRES,Rain,SO2,SOL,TEMP,TOL,WIND,WINDS,XY
8/1/2008 12:00:00 AM,,,,,,,,,,,,,,,,,,,
8/1/2008 1:00:00 AM,,,,,,,,,,,,,,,,,,,
8/1/2008 2:00:00 AM,0,0.3000000119,,,5.5999999046,15.8400001526,32.7900009155,27.3199996948,,,,,9.9399995804,,,0,241.1999969482,0.349999994,0
8/1/2008 2:10:00 AM,0,0.3000000119,,,5.2100000381,16.3700008392,32.4599990845,26.4200000763,,,,,10.0100002289,,,0,280.799987793,0.5299999714,0
8/1/2008 2:20:00 AM,0,0.2899999917,,,4.3800001144,16.1100006104,30.4300003052,26.3099994659,,,,,10.220000267,,,0,288,0.6999999881,0
8/1/2008 2:30:00 AM,0,0.2800000012,,,5.3400001526,15.9899997711,30.0900001526,26.1800003052,,,,,10.029999733,,,0,266.3999938965,0.8799999952,0
8/1/2008 2:40:00 AM,0,0.3600000143,,,5.9400000572,15.7899999619,31.1800003052,25.8999996185,,,,,9.75,,,0,266.3999938965,0.6999999881,0
8/1/2008 2:50:00 AM,0,0.2700000107,,,5.3600001335,15.5200004578,30.9200000763,25.6900005341,,,,,9.8000001907,,,0,288,0.6999999881,0
8/1/2008 3:00:00 AM,0,0.2899999917,,,5.7699999809,15.7899999619,30.5599994659,25.6399993896,,,,,10.2399997711,,,0,266.3999938965,0.6999999881,0
8/1/2008 3:10:00 AM,0.1800000072,0.3000000119,,,5.5399999619,15.6700000763,30.3500003815,25.6299991608,,,,,10.25,,,0,280.799987793,0.8799999952,0
8/1/2008 3:20:00 AM,0.1299999952,0.3000000119,,,5.6100001335,15.7700004578,28.9099998474,25.8799991608,,,,,10.029999733,,,0,280.799987793,0.8799999952,0
8/1/2008 3:30:00 AM,0.1299999952,0.3100000024,,,5.2600002289,15.75,29.1700000763,26.1100006104,,,,,9.7899999619,,,0,280.799987793,1.0599999428,0
8/1/2008 3:40:00 AM,0,0.3000000119,,,5.8699998856,15.7899999619,28.4200000763,26.0300006866,,,,,9.8800001144,,,0,277.200012207,1.2300000191,0
8/1/2008 3:50:00 AM,0,0.2899999917,,,6,15.75,28.4699993134,26.2099990845,,,,,9.9200000763,,,0,288,1.2300000191,0
8/1/2008 4:00:00 AM,0,0.2800000012,,,5.6799998283,16.0200004578,27.9400005341,26.2600002289,,,,,9.8900003433,,,0,277.200012207,1.2300000191,0
8/1/2008 4:10:00 AM,0,0.2599999905,,,4.7600002289,16.1900005341,26.9099998474,26.3299999237,,,,,10.1199998856,,,0,288,1.0599999428,0
8/1/2008 4:20:00 AM,0,0.2599999905,,,5.5399999619,16.1399993896,27.1499996185,26.2800006866,,,,,10.1499996185,,,0,262.799987793,1.0599999428,0
8/1/2008 4:30:00 AM,0,0.3100000024,,,4.2300000191,16.0499992371,25.4500007629,26.1700000763,,,,,10.1099996567,,,0,277.200012207,1.0599999428,0
8/1/2008 4:40:00 AM,0,0.25,,,5.2600002289,16.0100002289,26.3099994659,26.0900001526,,,,,10.7299995422,,,0,277.200012207,1.4099999666,0
8/1/2008 4:50:00 AM,0,0.25,,,5.75,16.1499996185,27.9099998474,25.7000007629,,,,,11.2899999619,,,0,270,1.0599999428,0
8/1/2008 5:00:00 AM,0,0.2399999946,,,5.75,16.0900001526,27.8999996185,25.5900001526,,,,,10.7899999619,,,0,266.3999938965,0.8799999952,0
8/1/2008 5:10:00 AM,0,0.2700000107,,,5.6999998093,15.8699998856,28.1100006104,25.3299999237,,,,,14.3100004196,,,0,277.200012207,0.8799999952,0
8/1/2008 5:20:00 AM,0,0.3700000048,,,6.4800000191,16,32.1599998474,25.1499996185,,,,,21.1499996185,,,0,284.3999938965,0.8799999952,0
8/1/2008 5:30:00 AM,0,0.5299999714,,,8.4499998093,16.0900001526,38.9599990845,24.1200008392,,,,,22.0900001526,,,0,291.6000061035,0.8799999952,0
8/1/2008 5:40:00 AM,0.2099999934,0.5500000119,,,10.8900003433,15.9899997711,41.9199981689,23.5400009155,,,,,23.1200008392,,,0,280.799987793,0.6999999881,0
8/1/2008 5:50:00 AM,0,0.3400000036,,,6.6999998093,15.9899997711,31.7000007629,23.5699996948,,,,,19.7000007629,,,0,277.200012207,0.8799999952,0
8/1/2008 6:00:00 AM,0,0.400000006,,,7.0199999809,16.4699993134,37.0800018311,23.6200008392,,,,,24.7999992371,,,0,277.200012207,1.2300000191,0
8/1/2008 6:10:00 AM,0,0.4600000083,,,6.4400000572,17.2299995422,40.1699981689,22.7000007629,,,,,28.7199993134,,,0,277.200012207,1.0599999428,0
8/1/2008 6:20:00 AM,0,0.7400000095,,,7.6700000763,16.8299999237,45.1699981689,22.25,,,,,33.25,,,0,273.6000061035,1.2300000191,0
8/1/2008 6:30:00 AM,0,0.5600000024,,,12.8199996948,16.6399993896,54.5600013733,20.8899993896,,,,,39.3699989319,,,0,288,1.2300000191,0
8/1/2008 6:40:00 AM,0,1.1000000238,,,30.9099998474,17.5900001526,78.0599975586,19.9400005341,,,,,48.2299995422,,,0,288,1.0599999428,0
8/1/2008 6:50:00 AM,0,1.5700000525,,,47.5099983215,19.4599990845,96.4800033569,18.7700004578,,,,,50.8300018311,,,0,295.200012207,1.0599999428,1.3700000048
8/1/2008 7:00:00 AM,0,1.5900000334,,,40.0499992371,21.3899993896,87.6900024414,17.8700008392,,,,,51.4500007629,,,0,295.200012207,1.2300000191,1.3700000048
8/1/2008 7:10:00 AM,0,1.8500000238,,,56.6599998474,23.3299999237,107.6100006104,17.1599998474,,,,,52.4099998474,,,0,298.799987793,1.0599999428,0
8/1/2008 7:20:00 AM,0,2.0399999619,,,44.3800010681,26.0599994659,92.5999984741,17.2900009155,,,,,49.4500007629,,,0,295.200012207,1.0599999428,0
8/1/2008 7:30:00 AM,0,1.5499999523,,,39.8600006104,26.8400001526,85.0599975586,16.6900005341,,,,,41.2999992371,,,0,291.6000061035,1.2300000191,0
8/1/2008 7:40:00 AM,0,1.2000000477,,,30.1000003815,27.1399993896,70.7300033569,17.5400009155,,,,,36.1699981689,,,0,291.6000061035,1.2300000191,0
