LogDate,BENZE,CO,EBEN,HUM,NO,NO2,NOX,O3,PM10,PM2.5,PRES,Rain,SO2,SOL,TEMP,TMP,TOL,WIND,WINDS,XY
7/1/2011 12:00:00 AM,0,0.29,0,35.58,,,,19.78,20.02,11.17,828.36,0,21.76,0,2.51,1.41,0,255.71,2.89,0
7/1/2011 12:10:00 AM,0,0.21,0,35.86,,,,19.44,24.03,10.98,828.24,0,21.32,0,2.52,1.04,0,259.42,2.65,0
7/1/2011 12:20:00 AM,0,0.2,0,36.39,,,,18.99,21.41,10.89,828.22,0,18.11,0,2.47,1.71,0,251.46,2.98,0
7/1/2011 12:30:00 AM,0,0.17,0,36.62,,,,19.58,46.45,14.83,828.1,0,20.1,0,2.52,1.33,0,261.4,3.09,0
7/1/2011 12:40:00 AM,0,0.16,0,37.23,,,,19.95,25.39,11.77,828.1,0,19.67,0,2.52,1.51,0,262.15,3,0
7/1/2011 12:50:00 AM,0,0.14,0,38.19,,,,20.54,19.28,9.93,828.18,0,17.19,0,2.28,1.9,0,264.96,3.31,0
7/1/2011 1:00:00 AM,0,0.15,0,39.77,,,,19.54,15.63,8.75,828.12,0,18.5,0,1.83,1.97,0,252.94,3.03,0
7/1/2011 1:10:00 AM,0,0.15,0,40.62,,,,19.01,14.68,8.84,828,0,20.95,0,1.59,2.23,0,254.2,3.17,0
7/1/2011 1:20:00 AM,0,0.15,0,41.43,,,,19,14.66,8.47,827.92,0,18.31,0,1.42,1.75,0,258.3,2.95,0
7/1/2011 1:30:00 AM,0,0.15,0,41.97,,,,19.65,16.63,8.05,827.78,0,20.76,0,1.33,1.2,0,267.59,2.96,0
7/1/2011 1:40:00 AM,0,0.13,0,43.3,,,,19.69,17.22,8.25,827.74,0,18.51,0,1.02,1.93,0,257.54,3.08,0
7/1/2011 1:50:00 AM,0,0.13,0,44.29,,,,18.8,14.92,8.3,827.66,0,18.18,0,0.79,1.36,0,254.7,3.02,0
7/1/2011 2:00:00 AM,0,0.12,0,44.98,,,,18.54,13.66,8.79,827.68,0,17.13,0,0.73,1.23,0,256.57,3.13,0
7/1/2011 2:10:00 AM,0,0.08,0,45.74,,,,18.69,13.64,7.34,827.76,0,15.39,0,0.66,0.87,0,247.54,3.6,0
7/1/2011 2:20:00 AM,0,0.05,0,46.36,,,,19.59,10.99,6.49,827.74,0,14.89,0,0.49,2.17,0,253.8,3.46,0
7/1/2011 2:30:00 AM,0,0.04,0,47.32,,,,20.34,11.02,6.49,827.56,0,15.4,0,0.22,1.39,0,242.89,3.26,0
7/1/2011 2:40:00 AM,0,0.05,0,48.7,,,,19.31,11.81,6.64,827.64,0,14.2,0,-0.14,1.75,0,237.24,2.94,0
7/1/2011 2:50:00 AM,0,0.05,0,49.94,,,,18.23,11.04,6.38,827.42,0,15.78,0,-0.3,1.48,0,245.7,3.27,0
